study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,47.40234375,14.027777777778,9559,9680,121,27.429989323036,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,66.125,59,9698,9834,136,18.100832288767,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,47.846590909091,76.527777777778,9917,9999,82,9.7710764243719,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,36.927083333333,72.013888888889,10016,10188,172,9.9667292927977,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,42.7421875,54.509259259259,10221,10594,373,9.5038101374435,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,45.900936447811,73.063271604938,10624,10840,216,33.510193732548,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,7.5162337662338,76.978715728716,10870,11026,156,24.746271136754,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,3.76953125,26.944444444444,11092,11218,126,39.715595049972,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,49.285827020202,23.101851851852,11284,11437,153,34.763608123129,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,89.171037946429,22.673611111111,11466,11654,188,32.596879857818,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,54.404296875,47.18051046176,11685,12068,383,4.9652486705371,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,48.828125,45.106837606838,12099,12492,393,2.5159774227032,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,3a37282f-f771-4174-886a-636fa17c879f,,"Vaishnavi Kori, Female, 20",,5,5,1,1,49.584797214004,40.154366644751,12523,12896,373,6.0484135631241,
